7,163,255,4
38,141,239,2
85,14,221,1
67,165,185,0
67,160,186,0
66,152,189,0
6,180,255,4
103,227,171,5
38,140,234,2
104,204,164,5
95,14,204,1
2,187,134,3
38,133,218,2
95,15,202,1
2,188,132,3
104,209,160,5
104,207,161,5
105,19,201,1
65,142,190,0
85,14,221,1
68,171,187,0
38,141,237,2
38,137,239,2
4,184,154,3
38,144,232,2
103,225,168,5
66,157,183,0
95,15,208,1
6,172,243,4
5,166,241,4
104,207,161,5
2,196,132,3
104,16,203,1
2,192,130,3
5,177,255,4
2,189,127,3
38,130,240,2
7,174,255,4
103,233,176,5
2,209,151,3
7,172,255,4
4,197,155,3
7,177,255,4
7,179,255,4
67,164,184,0
3,189,137,3
38,133,218,2
38,130,216,2
66,160,172,0
104,209,161,5
66,153,168,0
95,15,203,1
95,14,199,1
105,205,159,5
37,139,253,2
8,178,255,4
104,227,190,5
3,219,164,3
8,178,255,4
3,186,169,3
8,179,255,4
9,181,255,4
64,145,200,0
3,204,120,3
38,131,201,2
38,127,201,2
66,157,159,0
105,205,153,5
67,149,157,0
104,25,193,1
101,23,191,1
106,200,153,5
8,165,255,4
36,153,255,2
66,11,236,1
64,152,202,0
64,148,202,0
64,146,202,0
9,181,255,4
104,216,191,5
36,150,253,2
105,205,157,5
101,22,196,1
2,182,122,3
38,136,205,2
101,22,195,1
2,188,121,3
105,206,154,5
106,204,154,5
102,31,191,1
63,142,205,0
66,11,237,1
64,158,199,0
36,152,255,2
36,145,255,2
4,194,167,3
36,155,255,2
104,221,194,5
63,146,201,0
95,22,195,1
7,175,225,4
6,168,217,4
105,208,155,5
2,196,122,3
98,20,193,1
3,198,120,3
6,184,236,4
2,190,114,3
37,144,254,2
9,178,255,4
104,226,192,5
3,216,168,3
9,176,255,4
4,194,170,3
9,181,255,4
9,181,255,4
63,148,201,0
3,195,125,3
38,134,205,2
38,129,201,2
66,157,161,0
105,207,156,5
66,149,158,0
95,20,190,1
104,25,194,1
106,198,152,5
6,172,255,4
38,143,230,2
102,26,223,1
67,170,178,0
67,155,181,0
67,152,184,0
7,186,246,4
104,225,170,5
38,136,228,2
104,204,183,5
38,12,230,1
3,206,157,3
35,153,253,2
35,15,231,1
3,200,158,3
104,206,187,5
104,204,183,5
35,9,229,1
66,146,182,0
95,18,215,1
68,169,179,0
39,138,229,2
39,137,230,2
2,185,144,3
38,141,224,2
104,223,171,5
67,160,178,0
51,8,229,1
7,176,255,4
7,176,255,4
104,207,177,5
3,210,156,3
42,6,222,1
4,208,159,3
7,182,255,4
3,208,151,3
64,129,179,0
83,5,218,1
105,194,178,5
2,181,141,3
105,196,174,5
83,5,216,1
65,133,174,0
6,176,253,4
3,192,145,3
39,129,237,2
106,220,195,5
108,40,239,1
6,173,255,4
5,169,255,4
1,193,147,3
68,153,190,0
67,150,191,0
105,221,194,5
7,168,255,4
3,192,169,3
34,134,255,2
3,190,163,3
83,4,238,1
65,133,201,0
7,167,255,4
83,4,236,1
7,171,255,4
1,203,135,3
106,222,193,5
40,126,236,2
40,126,237,2
67,146,188,0
67,145,189,0
106,211,199,5
40,133,240,2
1,216,139,3
36,121,210,2
105,177,166,5
109,10,209,1
64,131,169,0
3,181,137,3
6,173,242,4
66,124,168,0
37,133,215,2
2,181,137,3
5,172,255,4
38,131,237,2
110,38,244,1
106,208,195,5
39,129,241,2
110,36,244,1
105,214,195,5
6,172,255,4
107,36,244,1
30,88,255,2
107,193,243,5
30,2,255,1
61,130,232,0
4,217,206,3
13,156,255,4
62,131,216,0
30,126,255,2
4,220,197,3
7,186,255,4
37,134,228,2
109,28,220,1
106,217,187,5
38,134,228,2
109,28,220,1
105,222,184,5
6,195,255,4
106,26,219,1
62,125,239,0
30,2,255,1
106,198,245,5
4,203,201,3
106,195,234,5
30,2,255,1
62,129,223,0
11,158,255,4
4,219,205,3
36,131,233,2
106,228,177,5
109,28,216,1
7,191,255,4
6,192,249,4
1,213,130,3
67,152,179,0
67,154,174,0
106,234,170,5
11,147,255,4
4,215,209,3
30,60,255,2
3,201,199,3
30,2,255,1
62,132,238,0
10,155,255,4
30,2,255,1
12,159,255,4
2,227,136,3
