73,151,93,0
24,220,160,2
110,177,142,5
10,220,158,4
10,219,163,4
120,12,175,1
25,231,160,2
113,15,176,1
110,213,133,5
11,215,199,4
10,204,194,4
77,133,133,0
11,212,200,4
78,138,130,0
111,185,181,5
24,212,201,2
111,167,182,5
111,39,247,1
24,195,165,2
77,119,109,0
10,228,168,4
1,194,121,3
110,215,125,5
73,26,107,1
111,15,171,1
2,201,127,3
72,144,107,0
111,203,170,5
111,196,176,5
0,154,162,3
109,28,222,1
25,193,202,2
177,139,164,3
1,161,166,3
9,182,214,4
177,134,170,3
8,172,163,4
23,185,163,2
9,233,166,4
74,155,93,0
116,22,172,1
1,178,132,3
125,9,166,1
110,224,124,5
109,12,171,1
77,144,125,0
78,139,128,0
24,193,201,2
112,33,223,1
178,149,156,3
24,186,207,2
1,172,153,3
25,195,195,2
111,174,190,5
111,175,142,5
79,129,109,0
24,189,173,2
110,211,133,5
24,202,164,2
110,213,135,5
110,213,133,5
122,20,182,1
9,214,180,4
78,137,132,0
25,173,200,2
24,166,210,2
25,185,198,2
173,131,161,3
24,148,217,2
110,195,191,5
172,124,162,3
24,105,214,2
23,190,162,2
179,148,131,3
116,20,179,1
1,182,125,3
9,215,166,4
111,167,132,5
2,208,125,3
24,220,169,2
73,140,112,0
0,165,158,3
10,198,202,4
116,36,236,1
10,197,202,4
111,194,179,5
78,126,139,0
10,195,213,4
76,129,140,0
178,130,178,3
0,148,124,3
125,9,162,1
109,12,164,1
9,220,154,4
74,165,87,0
109,12,166,1
9,229,156,4
1,209,127,3
110,215,115,5
77,141,125,0
77,136,129,0
119,25,228,1
111,191,171,5
114,28,217,1
111,28,239,1
10,200,200,4
8,177,206,4
77,113,136,0
73,146,105,0
76,136,111,0
74,136,108,0
111,17,176,1
111,14,180,1
115,11,182,1
1,199,132,3
24,225,172,2
109,221,134,5
11,207,207,4
77,133,136,0
10,196,210,4
0,155,167,3
178,140,167,3
24,161,215,2
0,155,171,3
177,122,172,3
112,149,216,5
1,191,123,3
9,194,164,4
116,15,174,1
1,196,121,3
9,225,162,4
111,189,129,5
23,229,166,2
10,220,175,4
23,216,177,2
77,144,122,0
111,202,165,5
114,28,227,1
10,207,196,4
77,141,126,0
111,175,186,5
111,194,177,5
9,188,206,4
9,172,217,4
23,168,166,2
77,122,109,0
110,234,122,5
109,11,160,1
110,218,126,5
113,18,174,1
24,238,165,2
24,233,164,2
120,3,170,1
0,168,156,3
25,197,199,2
10,192,208,4
111,200,180,5
25,192,201,2
78,118,138,0
76,139,130,0
0,155,163,3
114,29,233,1
23,175,168,2
8,177,167,4
110,225,127,5
24,215,160,2
9,206,167,4
24,207,170,2
9,221,173,4
110,212,130,5
110,209,134,5
24,199,199,2
10,198,203,4
112,190,187,5
78,129,138,0
111,190,182,5
80,111,145,0
114,31,234,1
78,121,145,0
177,113,180,3
9,211,152,4
110,195,119,5
73,175,87,0
74,168,83,0
74,159,90,0
24,216,162,2
2,208,114,3
2,205,123,3
2,204,125,3
116,27,206,1
112,32,206,1
11,199,199,4
10,194,199,4
111,31,219,1
109,36,255,1
111,27,205,1
178,147,152,3
77,123,135,0
74,139,101,0
179,141,130,3
116,20,188,1
110,213,127,5
24,227,162,2
24,218,172,2
10,231,169,4
120,3,166,1
23,230,175,2
78,141,129,0
114,37,229,1
111,191,184,5
0,163,158,3
179,149,159,3
111,167,199,5
0,159,160,3
10,188,204,4
24,162,210,2
1,203,113,3
0,144,124,3
73,165,91,0
110,204,113,5
9,224,158,4
96,8,165,1
2,199,119,3
109,217,119,5
96,8,165,1
11,212,196,4
10,201,198,4
116,23,222,1
1,174,152,3
107,33,218,1
109,33,225,1
1,171,153,3
107,31,240,1
10,188,205,4
111,164,133,5
23,207,162,2
110,223,126,5
9,223,159,4
23,210,162,2
8,211,172,4
24,219,163,2
10,234,173,4
23,220,175,2
114,31,219,1
0,156,159,3
77,128,136,0
77,138,130,0
78,137,131,0
77,121,146,0
75,145,123,0
179,153,167,3
119,23,232,1
24,166,157,2
111,178,136,5
8,188,174,4
75,164,92,0
110,220,125,5
74,151,102,0
24,227,164,2
24,232,166,2
73,157,106,0
111,206,180,5
114,39,233,1
179,151,157,3
25,203,189,2
178,152,154,3
24,173,203,2
10,206,202,4
111,189,180,5
111,175,196,5
8,206,166,4
120,20,183,1
9,227,173,4
110,208,127,5
113,18,175,1
23,206,173,2
9,223,167,4
23,229,177,2
110,213,131,5
24,200,202,2
78,136,129,0
119,30,232,1
76,138,131,0
78,138,131,0
177,145,163,3
11,214,211,4
78,128,138,0
78,121,146,0
113,18,172,1
113,23,174,1
116,20,178,1
2,196,121,3
110,209,127,5
75,143,105,0
1,215,129,3
110,215,126,5
24,219,171,2
111,205,166,5
11,204,199,4
24,203,205,2
1,162,157,3
10,198,205,4
105,33,255,1
0,157,162,3
110,186,181,5
178,140,169,3
77,125,108,0
116,26,184,1
77,126,110,0
10,226,158,4
1,188,122,3
0,176,131,3
73,164,95,0
10,236,162,4
110,218,132,5
25,201,197,2
10,199,197,4
111,193,187,5
25,199,195,2
25,192,197,2
25,163,203,2
0,171,155,3
111,170,185,5
112,39,240,1
179,169,120,3
9,210,157,4
179,148,133,3
110,215,122,5
24,212,161,2
1,180,129,3
109,12,168,1
111,15,171,1
103,7,176,1
25,206,189,2
1,164,147,3
111,193,178,5
111,192,171,5
10,200,198,4
10,189,211,4
76,138,131,0
107,39,255,1
24,166,211,2
116,22,173,1
8,207,160,4
75,165,94,0
24,212,161,2
1,193,123,3
24,203,167,2
73,165,94,0
10,224,174,4
1,188,135,3
0,169,151,3
111,199,173,5
10,199,201,4
78,139,130,0
78,138,129,0
77,121,144,0
25,199,197,2
24,177,203,2
9,178,215,4
110,188,125,5
110,178,127,5
9,219,163,4
76,168,85,0
110,220,115,5
1,179,127,3
110,227,110,5
73,179,83,0
125,9,164,1
25,205,193,2
114,33,220,1
77,133,133,0
111,31,216,1
111,32,217,1
178,141,163,3
11,214,194,4
24,200,195,2
111,185,174,5
9,210,159,4
110,200,126,5
2,204,124,3
110,220,115,5
24,220,159,2
9,224,164,4
24,234,157,2
73,151,94,0
120,8,170,1
112,31,213,1
111,28,213,1
11,206,203,4
111,201,162,5
77,144,125,0
116,25,223,1
111,203,172,5
25,193,198,2
9,174,216,4
77,121,114,0
23,205,167,2
9,221,178,4
77,158,106,0
110,211,133,5
23,198,177,2
1,196,134,3
1,182,136,3
23,213,182,2
111,200,184,5
10,196,209,4
179,149,173,3
0,158,170,3
179,155,170,3
77,117,151,0
76,134,135,0
8,176,225,4
78,101,157,0
24,178,155,2
179,149,122,3
24,221,158,2
109,13,155,1
9,214,155,4
9,221,170,4
74,179,87,0
72,161,95,0
109,223,121,5
111,206,167,5
111,190,165,5
1,159,150,3
112,30,216,1
110,31,216,1
25,189,203,2
112,26,215,1
0,143,156,3
109,28,220,1
178,139,130,3
110,178,133,5
76,126,113,0
109,194,128,5
74,158,104,0
24,213,176,2
9,218,166,4
73,140,110,0
109,230,131,5
11,200,209,4
0,156,159,3
110,37,236,1
111,198,185,5
179,138,165,3
177,130,176,3
24,204,210,2
7,150,217,4
112,160,212,5
23,203,159,2
179,153,124,3
116,21,174,1
73,151,93,0
9,217,162,4
113,18,174,1
2,202,124,3
9,227,173,4
9,220,177,4
111,212,162,5
111,30,215,1
1,162,156,3
111,206,171,5
25,197,194,2
78,128,136,0
111,27,216,1
178,140,166,3
24,160,214,2
77,126,103,0
23,174,161,2
110,206,124,5
9,230,152,4
116,22,166,1
9,217,168,4
24,223,160,2
74,175,86,0
1,211,127,3
114,38,221,1
114,37,223,1
77,128,136,0
25,206,188,2
112,197,172,5
116,33,227,1
77,148,122,0
24,198,190,2
10,189,199,4
116,22,177,1
110,213,133,5
110,226,133,5
1,181,127,3
24,214,167,2
103,10,175,1
73,151,102,0
74,154,102,0
1,188,141,3
11,206,205,4
0,165,155,3
23,193,210,2
76,137,132,0
111,196,177,5
24,173,209,2
111,201,176,5
10,192,216,4
75,126,143,0
110,210,130,5
116,20,176,1
24,215,165,2
109,212,128,5
75,173,96,0
1,178,131,3
72,158,102,0
25,229,167,2
72,145,109,0
1,168,152,3
11,202,196,4
25,194,200,2
111,183,174,5
10,198,204,4
24,179,214,2
111,29,228,1
0,152,168,3
9,178,216,4
179,135,129,3
8,204,160,4
116,20,186,1
110,27,172,1
1,185,123,3
109,12,173,1
111,15,170,1
74,174,94,0
110,212,130,5
11,207,201,4
77,137,132,0
0,143,164,3
11,205,200,4
110,40,231,1
24,164,208,2
11,203,202,4
111,193,174,5
24,168,211,2
76,169,97,0
110,213,135,5
0,189,133,3
1,183,125,3
9,225,172,4
9,212,178,4
1,187,131,3
23,221,180,2
23,214,180,2
77,138,131,0
10,198,204,4
10,197,217,4
78,137,136,0
25,188,208,2
110,186,201,5
179,161,171,3
78,127,143,0
24,175,221,2
113,23,179,1
77,123,94,0
110,225,127,5
24,217,160,2
111,15,169,1
111,12,171,1
74,168,95,0
96,8,165,1
10,229,178,4
112,38,223,1
10,198,201,4
111,188,184,5
1,163,156,3
111,196,176,5
25,170,207,2
110,209,170,5
10,185,210,4
8,161,215,4
179,141,127,3
0,148,130,3
111,14,177,1
1,192,117,3
74,171,88,0
24,216,162,2
24,228,153,2
110,226,116,5
72,156,98,0
10,208,199,4
78,137,131,0
114,36,231,1
111,205,163,5
0,156,150,3
118,22,218,1
24,201,201,2
112,30,218,1
111,181,179,5
0,155,131,3
79,121,113,0
77,121,114,0
74,145,105,0
9,212,171,4
116,19,186,1
110,213,133,5
110,204,133,5
72,162,111,0
11,205,208,4
10,197,207,4
10,196,214,4
110,190,188,5
25,182,211,2
8,158,227,4
10,192,220,4
8,153,218,4
175,104,188,3
111,177,131,5
23,177,163,2
9,224,166,4
0,190,117,3
109,13,160,1
24,207,165,2
109,13,161,1
73,164,95,0
1,200,128,3
114,37,223,1
25,196,195,2
114,31,233,1
10,199,198,4
111,194,171,5
78,127,130,0
112,30,211,1
179,148,159,3
78,120,136,0
24,222,147,2
110,184,129,5
75,129,107,0
2,201,115,3
74,175,89,0
24,227,162,2
24,237,158,2
110,225,118,5
23,234,170,2
1,171,148,3
110,31,212,1
111,193,174,5
1,169,150,3
0,150,152,3
114,30,223,1
111,206,165,5
116,23,211,1
25,187,197,2
24,218,159,2
0,147,132,3
10,230,166,4
10,228,162,4
9,219,163,4
76,126,108,0
74,176,95,0
110,202,125,5
1,187,131,3
25,205,197,2
10,203,201,4
114,39,231,1
1,168,153,3
111,197,176,5
25,180,204,2
111,30,219,1
77,136,133,0
112,29,230,1
0,153,128,3
111,12,172,1
24,214,170,2
74,165,94,0
74,160,95,0
9,217,168,4
10,230,166,4
109,12,168,1
96,7,171,1
1,163,160,3
0,143,161,3
111,186,187,5
111,191,178,5
109,32,231,1
8,166,213,4
1,162,163,3
179,138,170,3
9,165,223,4
110,172,132,5
23,177,161,2
110,227,127,5
116,21,172,1
24,216,162,2
103,9,165,1
72,165,94,0
23,223,175,2
9,221,180,4
24,205,193,2
111,199,174,5
77,132,133,0
77,137,131,0
179,154,159,3
24,174,210,2
110,199,177,5
111,185,186,5
80,100,151,0
1,185,127,3
1,187,127,3
110,220,133,5
110,204,130,5
111,14,176,1
9,215,179,4
10,231,179,4
2,202,141,3
23,220,182,2
112,30,220,1
10,203,205,4
111,193,175,5
76,137,132,0
111,190,181,5
10,190,222,4
1,167,170,3
76,130,139,0
10,183,222,4
24,201,161,2
9,184,161,4
74,169,95,0
24,217,159,2
75,160,94,0
116,23,177,1
110,225,127,5
73,146,106,0
111,12,176,1
114,38,224,1
25,196,193,2
112,194,178,5
110,205,177,5
178,151,155,3
178,140,158,3
0,165,155,3
25,185,201,2
24,166,211,2
77,140,91,0
77,121,104,0
8,188,170,4
110,205,116,5
9,226,157,4
125,9,166,1
1,198,120,3
23,233,163,2
9,232,168,4
114,32,217,1
112,29,209,1
78,131,128,0
0,162,154,3
