11,243,170,4
0,207,136,3
179,190,160,3
1,210,129,3
0,199,147,3
116,40,255,1
112,238,150,5
111,228,178,5
26,234,228,2
112,232,224,5
114,59,253,1
26,232,178,2
12,238,233,4
112,233,200,5
77,176,119,0
111,230,212,5
26,233,218,2
75,173,122,0
77,193,78,0
112,52,199,1
12,244,194,4
11,250,152,4
73,176,106,0
26,241,198,2
27,252,148,2
27,248,183,2
13,248,210,4
110,39,255,1
178,190,156,3
12,245,202,4
13,244,240,4
27,232,217,2
77,161,133,0
103,22,255,1
0,192,172,3
0,200,160,3
26,239,159,2
113,232,152,5
0,211,134,3
26,246,164,2
111,24,193,1
111,28,208,1
83,7,152,1
112,239,146,5
2,210,158,3
76,153,144,0
112,229,203,5
75,155,124,0
73,153,156,0
12,241,230,4
74,162,131,0
111,226,222,5
12,239,238,4
110,28,238,1
78,163,115,0
178,187,153,3
12,232,236,4
0,195,145,3
13,243,215,4
75,145,160,0
12,243,193,4
13,243,215,4
25,226,249,2
110,210,255,5
12,228,255,4
78,149,153,0
29,211,255,2
76,145,173,0
112,221,239,5
0,176,230,3
90,1,255,1
107,22,255,1
11,232,186,4
112,218,200,5
26,216,226,2
77,167,123,0
112,227,199,5
76,145,159,0
112,235,143,5
0,198,159,3
74,151,155,0
78,135,179,0
90,10,255,1
112,221,245,5
50,2,255,1
27,211,255,2
112,218,244,5
0,174,231,3
13,228,255,4
0,180,200,3
114,45,188,1
11,237,169,4
12,235,202,4
27,237,153,2
110,33,195,1
0,192,155,3
27,251,139,2
112,231,139,5
111,24,214,1
114,28,255,1
78,161,136,0
26,219,195,2
111,27,255,1
0,187,169,3
26,223,202,2
1,182,191,3
26,224,224,2
111,228,184,5
112,37,174,1
11,234,172,4
11,239,192,4
11,245,153,4
11,242,177,4
74,162,120,0
26,248,149,2
1,212,131,3
111,233,174,5
112,227,235,5
115,46,255,1
77,155,135,0
0,180,190,3
26,220,232,2
114,37,244,1
107,19,255,1
111,226,204,5
111,229,185,5
74,182,94,0
75,172,110,0
0,199,141,3
2,218,118,3
109,30,197,1
26,229,197,2
113,246,107,5
11,246,173,4
116,18,211,1
76,154,150,0
113,46,255,1
12,236,202,4
111,226,226,5
112,229,209,5
113,40,240,1
1,185,197,3
1,189,181,3
1,198,166,3
11,240,154,4
26,224,168,2
116,53,247,1
27,243,151,2
75,179,108,0
75,158,130,0
27,255,143,2
71,172,110,0
26,244,211,2
179,182,181,3
112,228,224,5
78,160,128,0
26,221,245,2
179,189,173,3
112,228,204,5
13,246,252,4
13,244,230,4
26,236,209,2
75,190,82,0
0,207,126,3
112,232,189,5
74,187,97,0
